"","rowid","Species","confidence","ARU.ID","Date","start.min","start.sec","timestamp","True.Positive"
"75",75,"Warbling Vireo",0.449766874313354,"SMM05",20230617,46,42,2802,NA
"76",76,"Warbling Vireo",0.610563814640045,"SMM05",20230618,22,0,1320,NA
"77",77,"Warbling Vireo",0.318692654371262,"SMM05",20230618,30,6,1806,NA
"78",78,"Warbling Vireo",0.361384451389313,"SMM05",20230618,34,54,2094,NA
"79",79,"Warbling Vireo",0.603422224521637,"SMM05",20230618,35,30,2130,NA
"80",80,"Warbling Vireo",0.336052924394608,"SMM05",20230619,27,27,1647,NA
"81",81,"Warbling Vireo",0.55975466966629,"SMM05",20230619,30,33,1833,NA
"82",82,"Warbling Vireo",0.408342659473419,"SMM05",20230619,33,51,2031,NA
"83",83,"Warbling Vireo",0.440896511077881,"SMM05",20230619,35,51,2151,NA
"84",84,"Warbling Vireo",0.556923866271973,"SMM05",20230619,38,21,2301,NA
"85",85,"Warbling Vireo",0.364011347293854,"SMM05",20230619,40,36,2436,NA
"86",86,"Warbling Vireo",0.698921084403992,"SMM05",20230619,47,54,2874,NA
"87",87,"Warbling Vireo",0.372465312480927,"SMM05",20230619,51,30,3090,NA
"88",88,"Warbling Vireo",0.633859395980835,"SMM05",20230619,52,9,3129,NA
"89",89,"Warbling Vireo",0.465682953596115,"SMM05",20230619,55,9,3309,NA
"90",90,"Warbling Vireo",0.460874080657959,"SMM05",20230619,57,45,3465,NA
"91",91,"Warbling Vireo",0.636084079742432,"SMM05",20230619,58,27,3507,NA
"92",92,"Warbling Vireo",0.581248462200165,"SMM05",20230620,49,36,2976,NA
"93",93,"Warbling Vireo",0.426511287689209,"SMM05",20230620,53,3,3183,NA
"94",94,"Warbling Vireo",0.557791590690613,"SMM05",20230621,2,27,147,NA
"95",95,"Warbling Vireo",0.519741415977478,"SMM05",20230621,4,15,255,NA
"96",96,"Warbling Vireo",0.470279365777969,"SMM05",20230621,5,21,321,NA
"97",97,"Warbling Vireo",0.794478535652161,"SMM05",20230621,18,27,1107,NA
"98",98,"Warbling Vireo",0.490393757820129,"SMM05",20230621,22,18,1338,NA
