"","Species","confidence","ARU.ID","Date","start.min","start.sec","True.Positive"
"77","American Robin",0.457505404949188,"SMM11","2023-06-10",18,48,NA
"78","American Robin",0.692868292331696,"SMM11","2023-06-10",21,24,NA
"79","American Robin",0.338046312332153,"SMM11","2023-06-10",25,33,NA
"80","American Robin",0.440167486667633,"SMM11","2023-06-10",25,42,NA
"81","American Robin",0.449382215738297,"SMM11","2023-06-10",38,18,NA
"82","American Robin",0.488699555397034,"SMM11","2023-06-10",38,36,NA
"83","American Robin",0.327893644571304,"SMM11","2023-06-10",38,57,NA
"84","American Robin",0.374092161655426,"SMM11","2023-06-10",40,48,NA
"85","American Robin",0.486210584640503,"SMM11","2023-06-10",42,36,NA
"86","American Robin",0.338479280471802,"SMM11","2023-06-10",54,45,NA
"87","American Robin",0.585855007171631,"SMM11","2023-06-11",0,18,NA
"88","American Robin",0.370294719934464,"SMM11","2023-06-11",0,21,NA
"89","American Robin",0.373145580291748,"SMM11","2023-06-11",1,15,NA
"90","American Robin",0.323484569787979,"SMM11","2023-06-11",4,0,NA
"91","American Robin",0.52852463722229,"SMM11","2023-06-11",5,45,NA
"92","American Robin",0.314173758029938,"SMM11","2023-06-11",7,21,NA
"93","American Robin",0.564579904079437,"SMM11","2023-06-11",9,21,NA
"94","American Robin",0.541602551937103,"SMM11","2023-06-11",31,21,NA
"95","American Robin",0.558786332607269,"SMM11","2023-06-11",31,45,NA
"96","American Robin",0.372331231832504,"SMM11","2023-06-11",46,27,NA
"97","American Robin",0.334476828575134,"SMM11","2023-06-11",47,24,NA
"98","American Robin",0.40278172492981,"SMM11","2023-06-11",48,24,NA
"99","American Robin",0.6339271068573,"SMM11","2023-06-11",50,33,NA
"100","American Robin",0.373734027147293,"SMM11","2023-06-13",15,48,NA
"101","Black-headed Grosbeak",0.396180093288422,"SMM01","2023-06-16",18,45,NA
"102","Black-headed Grosbeak",0.981142818927765,"SMM05","2023-06-01",15,54,NA
"103","Black-headed Grosbeak",0.68397057056427,"SMM05","2023-06-15",27,45,NA
"104","Black-headed Grosbeak",0.772952973842621,"SMM05","2023-06-15",29,54,NA
"105","Black-headed Grosbeak",0.75674569606781,"SMM05","2023-06-16",0,12,NA
"106","Black-headed Grosbeak",0.37182742357254,"SMM05","2023-06-16",0,30,NA
"107","Black-headed Grosbeak",0.939970016479492,"SMM05","2023-06-16",1,36,NA
"108","Black-headed Grosbeak",0.659960985183716,"SMM05","2023-06-16",1,42,NA
"109","Black-headed Grosbeak",0.798471987247467,"SMM05","2023-06-18",1,30,NA
"110","Black-headed Grosbeak",0.562183320522308,"SMM05","2023-06-18",3,27,NA
"111","Black-headed Grosbeak",0.710677564144135,"SMM05","2023-06-19",42,39,NA
"112","Black-headed Grosbeak",0.524974226951599,"SMM05","2023-06-22",50,18,NA
"113","Black-headed Grosbeak",0.532213509082794,"SMM05","2023-06-22",50,30,NA
"114","Black-headed Grosbeak",0.996428787708282,"SMM05","2023-06-22",52,9,NA
"115","Black-headed Grosbeak",0.306858211755753,"SMM05","2023-06-22",52,57,NA
