"","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File"
"47","66998","UF3-1",2024-06-05,6,3,6,"Hooded Warbler",0.150955483317375,"20240605_060300-216847801.flac"
"48","66998","UF3-1",2024-06-05,6,3,36,"Hooded Warbler",0.165691137313843,"20240605_060300-216847801.flac"
"49","66998","UF3-1",2024-06-05,6,3,39,"Hooded Warbler",0.160564407706261,"20240605_060300-216847801.flac"
"50","66998","UF3-1",2024-06-05,6,4,12,"Hooded Warbler",0.22356091439724,"20240605_060400-216847802.flac"
"51","66998","UF3-1",2024-06-05,7,1,6,"Hooded Warbler",0.167572781443596,"20240605_070100-216847879.flac"
"52","66998","UF3-1",2024-06-05,7,1,21,"Hooded Warbler",0.159193605184555,"20240605_070100-216847879.flac"
"53","66998","UF3-1",2024-06-05,7,2,24,"Hooded Warbler",0.230888500809669,"20240605_070200-216847880.flac"
"54","66998","UF3-1",2024-06-05,8,1,21,"Hooded Warbler",0.254616618156433,"20240605_080100-216847768.flac"
"55","66998","UF3-1",2024-06-05,8,4,48,"Hooded Warbler",0.205968290567398,"20240605_080400-216847771.flac"
"56","66998","UF3-1",2024-06-06,6,0,45,"Hooded Warbler",0.200204402208328,"20240606_060000-216847873.flac"
"57","66998","UF3-1",2024-06-06,6,1,24,"Hooded Warbler",0.190465539693832,"20240606_060100-216847874.flac"
"58","66998","UF3-1",2024-06-06,6,2,39,"Hooded Warbler",0.170934438705444,"20240606_060200-216847875.flac"
"59","66998","UF3-1",2024-06-06,6,2,54,"Hooded Warbler",0.161223962903023,"20240606_060200-216847875.flac"
"60","66998","UF3-1",2024-06-06,6,3,48,"Hooded Warbler",0.161998227238655,"20240606_060300-216847876.flac"
"61","66998","UF3-1",2024-06-06,6,4,36,"Hooded Warbler",0.152282580733299,"20240606_060400-216847877.flac"
"62","66998","UF3-1",2024-06-06,7,0,30,"Hooded Warbler",0.194930464029312,"20240606_070000-216847772.flac"
"63","66998","UF3-1",2024-06-06,7,2,0,"Hooded Warbler",0.165334552526474,"20240606_070200-216847774.flac"
"64","66998","UF3-1",2024-06-06,7,2,3,"Hooded Warbler",0.16376419365406,"20240606_070200-216847774.flac"
"65","66998","UF3-1",2024-06-06,7,2,15,"Hooded Warbler",0.152326866984367,"20240606_070200-216847774.flac"
"66","66998","UF3-1",2024-06-06,7,3,12,"Hooded Warbler",0.157411023974419,"20240606_070300-216847775.flac"
"67","66998","UF3-1",2024-06-06,7,3,15,"Hooded Warbler",0.171751320362091,"20240606_070300-216847775.flac"
"68","66998","UF3-1",2024-06-06,7,3,21,"Hooded Warbler",0.173194468021393,"20240606_070300-216847775.flac"
"69","66998","UF3-1",2024-06-06,7,4,21,"Hooded Warbler",0.154121220111847,"20240606_070400-216847776.flac"
"70","66998","UF3-1",2024-06-07,6,0,27,"Hooded Warbler",0.152606621384621,"20240607_060000-216847848.flac"
"71","66998","UF3-1",2024-06-07,6,1,3,"Hooded Warbler",0.155099794268608,"20240607_060100-216847849.flac"
"72","66998","UF3-1",2024-06-07,6,1,18,"Hooded Warbler",0.158295124769211,"20240607_060100-216847849.flac"
"73","66998","UF3-1",2024-06-07,6,1,33,"Hooded Warbler",0.289923101663589,"20240607_060100-216847849.flac"
"74","66998","UF3-1",2024-06-07,6,2,36,"Hooded Warbler",0.179453194141388,"20240607_060200-216847850.flac"
"75","66998","UF3-1",2024-06-07,6,2,39,"Hooded Warbler",0.16701976954937,"20240607_060200-216847850.flac"
"76","66998","UF3-1",2024-06-07,6,2,42,"Hooded Warbler",0.17220900952816,"20240607_060200-216847850.flac"
"77","66998","UF3-1",2024-06-07,6,3,3,"Hooded Warbler",0.199555322527885,"20240607_060300-216847851.flac"
"78","66998","UF3-1",2024-06-07,6,3,6,"Hooded Warbler",0.165055796504021,"20240607_060300-216847851.flac"
"79","66998","UF3-1",2024-06-07,6,3,9,"Hooded Warbler",0.159519329667091,"20240607_060300-216847851.flac"
"80","66998","UF3-1",2024-06-07,6,3,15,"Hooded Warbler",0.161275818943977,"20240607_060300-216847851.flac"
"81","66998","UF3-1",2024-06-07,6,3,30,"Hooded Warbler",0.188267365098,"20240607_060300-216847851.flac"
"82","66998","UF3-1",2024-06-07,6,3,33,"Hooded Warbler",0.154814839363098,"20240607_060300-216847851.flac"
"83","66998","UF3-1",2024-06-07,6,3,57,"Hooded Warbler",0.197459608316422,"20240607_060300-216847851.flac"
"84","66998","UF3-1",2024-06-07,6,4,12,"Hooded Warbler",0.164870157837868,"20240607_060400-216847852.flac"
"85","66998","UF3-1",2024-06-07,6,4,21,"Hooded Warbler",0.158816039562225,"20240607_060400-216847852.flac"
"86","66998","UF3-1",2024-06-07,7,2,45,"Hooded Warbler",0.187869772315025,"20240607_070200-216847915.flac"
"87","66998","UF3-1",2024-06-07,8,0,9,"Hooded Warbler",0.195891320705414,"20240607_080000-216847938.flac"
"88","66998","UF3-1",2024-06-07,8,0,30,"Hooded Warbler",0.155580192804337,"20240607_080000-216847938.flac"
"89","66998","UF3-1",2024-06-07,8,0,45,"Hooded Warbler",0.216754794120789,"20240607_080000-216847938.flac"
"90","66998","UF3-1",2024-06-07,8,4,9,"Hooded Warbler",0.150291115045547,"20240607_080400-216847942.flac"
"91","66998","UF3-1",2024-06-09,8,0,12,"Hooded Warbler",0.178899154067039,"20240609_080000-216847712.flac"
"92","66998","UF3-1",2024-06-11,7,2,18,"Hooded Warbler",0.224481001496315,"20240611_070200-216847719.flac"
"93","66998","UF3-1",2024-06-11,8,1,3,"Hooded Warbler",0.158842220902443,"20240611_080100-216847788.flac"
"94","66998","UF3-1",2024-06-11,8,1,12,"Hooded Warbler",0.191081970930099,"20240611_080100-216847788.flac"
"95","66998","UF3-1",2024-06-11,8,3,9,"Hooded Warbler",0.16438053548336,"20240611_080300-216847790.flac"
"96","66998","UF3-1",2024-06-13,7,0,36,"Hooded Warbler",0.161584839224815,"20240613_070000-216847762.flac"
"97","66998","UF3-1",2024-06-13,7,2,33,"Hooded Warbler",0.188440129160881,"20240613_070200-216847764.flac"
"98","66998","UF3-1",2024-06-13,7,4,42,"Hooded Warbler",0.20271223783493,"20240613_070400-216847766.flac"
"99","66998","UF3-1",2024-06-13,7,4,54,"Hooded Warbler",0.17867349088192,"20240613_070400-216847766.flac"
"100","66998","UF3-1",2024-06-13,8,0,42,"Hooded Warbler",0.150073826313019,"20240613_080000-216847702.flac"
"101","66998","UF3-1",2024-06-13,8,1,6,"Hooded Warbler",0.183343321084976,"20240613_080100-216847703.flac"
"102","66998","UF3-1",2024-06-13,8,1,45,"Hooded Warbler",0.192399278283119,"20240613_080100-216847703.flac"
"103","66998","UF3-1",2024-06-13,8,2,21,"Hooded Warbler",0.177120685577393,"20240613_080200-216847704.flac"
"104","66998","UF3-1",2024-06-13,8,2,54,"Hooded Warbler",0.239413782954216,"20240613_080200-216847704.flac"
"105","66998","UF3-1",2024-06-13,8,3,18,"Hooded Warbler",0.196144476532936,"20240613_080300-216847705.flac"
"106","66998","UF3-1",2024-06-13,8,3,21,"Hooded Warbler",0.203853771090508,"20240613_080300-216847705.flac"
"107","66998","UF3-1",2024-06-13,8,3,24,"Hooded Warbler",0.174482479691505,"20240613_080300-216847705.flac"
"108","66998","UF3-1",2024-06-13,8,3,27,"Hooded Warbler",0.18811109662056,"20240613_080300-216847705.flac"
"109","66998","UF3-1",2024-06-13,8,4,54,"Hooded Warbler",0.15495240688324,"20240613_080400-216847706.flac"
"110","66999","UF3-2",2024-05-17,7,0,54,"Hooded Warbler",0.17119137942791,"20240517_070000-216848342.flac"
"111","66999","UF3-2",2024-05-20,6,0,0,"Hooded Warbler",0.161678865551949,"20240520_060000-216848276.flac"
"112","66999","UF3-2",2024-05-20,7,0,0,"Hooded Warbler",0.164773166179657,"20240520_070000-216848355.flac"
"113","66999","UF3-2",2024-05-20,7,0,42,"Hooded Warbler",0.170851573348045,"20240520_070000-216848355.flac"
"114","66999","UF3-2",2024-05-21,6,0,51,"Hooded Warbler",0.163424551486969,"20240521_060000-216848356.flac"
"115","66999","UF3-2",2024-05-22,6,0,6,"Hooded Warbler",0.165941163897514,"20240522_060000-216848352.flac"
"116","66999","UF3-2",2024-05-22,6,0,21,"Hooded Warbler",0.160980150103569,"20240522_060000-216848352.flac"
"117","66999","UF3-2",2024-05-22,7,0,3,"Hooded Warbler",0.207150593400002,"20240522_070000-216848351.flac"
"118","66999","UF3-2",2024-05-23,8,0,0,"Hooded Warbler",0.164750769734383,"20240523_080000-216848328.flac"
"119","66999","UF3-2",2024-05-25,7,0,0,"Hooded Warbler",0.152814462780952,"20240525_070000-216848348.flac"
"120","66999","UF3-2",2024-05-25,7,0,30,"Hooded Warbler",0.178521156311035,"20240525_070000-216848348.flac"
"121","66999","UF3-2",2024-05-25,7,0,36,"Hooded Warbler",0.152199849486351,"20240525_070000-216848348.flac"
"122","66999","UF3-2",2024-05-28,6,0,21,"Hooded Warbler",0.161472871899605,"20240528_060000-216848306.flac"
"123","66999","UF3-2",2024-05-28,6,0,36,"Hooded Warbler",0.154137477278709,"20240528_060000-216848306.flac"
"124","66999","UF3-2",2024-05-28,7,0,3,"Hooded Warbler",0.153095111250877,"20240528_070000-216848300.flac"
"125","66999","UF3-2",2024-05-28,7,0,9,"Hooded Warbler",0.196957349777222,"20240528_070000-216848300.flac"
