"","X","rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Conf.Breaks","Weight","True.Positive"
"71",71,71,67004,"UF2-12",20240524,NA,1,3,"Hooded Warbler",0.739117085933685,"20240524_070100-216852366.flac",3,0.5,1
"72",72,72,67007,"UF2-9",20240525,NA,0,15,"Hooded Warbler",0.185222163796425,"20240525_080000-216851738.flac",1,0.2,0
"73",73,73,67004,"UF2-12",20240520,NA,2,30,"Hooded Warbler",0.327091187238693,"20240520_080200-216852584.flac",3,0.5,0
"74",74,74,67007,"UF2-9",20240601,NA,3,0,"Hooded Warbler",0.216098979115486,"20240601_070300-216851581.flac",2,0.3,0
"75",75,75,67007,"UF2-9",20240610,NA,3,18,"Hooded Warbler",0.209789171814919,"20240610_080300-216851986.flac",2,0.3,1
"76",76,76,67003,"UF2-1",20240605,NA,4,30,"Hooded Warbler",0.167076721787453,"20240605_080400-216850165.flac",1,0.2,0
"77",77,77,67007,"UF2-9",20240608,NA,3,42,"Hooded Warbler",0.209206163883209,"20240608_060300-216851475.flac",2,0.3,0
"78",78,78,67007,"UF2-9",20240604,NA,1,57,"Hooded Warbler",0.162888064980507,"20240604_080100-216852371.flac",1,0.2,0
"79",79,79,67005,"UF2-4",20240607,NA,3,48,"Hooded Warbler",0.151258528232574,"20240607_060300-216850631.flac",1,0.2,0
"80",80,80,67004,"UF2-12",20240608,NA,1,36,"Hooded Warbler",0.56335037946701,"20240608_080100-216852422.flac",3,0.5,0
"81",81,81,67005,"UF2-4",20240601,NA,3,42,"Hooded Warbler",0.15708714723587,"20240601_060300-216850647.flac",1,0.2,0
"82",82,82,67007,"UF2-9",20240602,NA,1,0,"Hooded Warbler",0.404265582561493,"20240602_070100-216851804.flac",3,0.5,0
"83",83,83,67007,"UF2-9",20240613,NA,2,24,"Hooded Warbler",0.414576649665833,"20240613_070200-216851830.flac",3,0.5,0
"84",84,84,67003,"UF2-1",20240604,NA,3,6,"Hooded Warbler",0.185221612453461,"20240604_080300-216850194.flac",1,0.2,0
"85",85,85,67007,"UF2-9",20240609,NA,3,27,"Hooded Warbler",0.387251108884811,"20240609_080300-216851746.flac",3,0.5,0
"86",86,86,67007,"UF2-9",20240602,NA,1,30,"Hooded Warbler",0.432097107172012,"20240602_070100-216851804.flac",3,0.5,0
"87",87,87,66998,"UF3-1",20240605,NA,1,6,"Hooded Warbler",0.167572781443596,"20240605_070100-216847879.flac",1,0.2,0
"88",88,88,66999,"UF3-2",20240603,NA,0,3,"Hooded Warbler",0.202950283885002,"20240603_070000-216848199.flac",2,0.3,0
"89",89,89,67007,"UF2-9",20240601,NA,4,0,"Hooded Warbler",0.406698316335678,"20240601_070400-216851582.flac",3,0.5,0
"90",90,90,67004,"UF2-12",20240608,NA,0,9,"Hooded Warbler",0.946932315826416,"20240608_080000-216852421.flac",3,0.5,1
"91",91,91,67003,"UF2-1",20240603,NA,2,54,"Hooded Warbler",0.159113839268684,"20240603_070200-216850294.flac",1,0.2,0
"92",92,92,67007,"UF2-9",20240610,NA,2,18,"Hooded Warbler",0.21105769276619,"20240610_080200-216851985.flac",2,0.3,0
"93",93,93,67007,"UF2-9",20240603,NA,2,21,"Hooded Warbler",0.264644742012024,"20240603_070200-216851860.flac",2,0.3,0
"94",94,94,67007,"UF2-9",20240531,NA,0,12,"Hooded Warbler",0.317117810249329,"20240531_080000-216852139.flac",3,0.5,0
"95",95,95,66998,"UF3-1",20240607,NA,0,45,"Hooded Warbler",0.216754794120789,"20240607_080000-216847938.flac",2,0.3,0
"96",96,96,67000,"UF3-9",20240522,NA,4,9,"Hooded Warbler",0.202344417572021,"20240522_060400-216849857.flac",2,0.3,0
"97",97,97,67007,"UF2-9",20240609,NA,2,15,"Hooded Warbler",0.658429801464081,"20240609_080200-216851745.flac",3,0.5,0
"98",98,98,67006,"UF2-6",20240606,NA,0,0,"Hooded Warbler",0.224646896123886,"20240606_080000-216851100.flac",2,0.3,0
"99",99,99,67000,"UF3-9",20240606,NA,2,12,"Hooded Warbler",0.158002659678459,"20240606_070200-216849496.flac",1,0.2,0
"100",100,100,67005,"UF2-4",20240602,NA,0,36,"Hooded Warbler",0.167224779725075,"20240602_070000-216851321.flac",1,0.2,0
