"","start.min","start.sec","common_name","confidence","ARU.ID","ARU.Name","Date"
"64",0,33,"Tufted Titmouse",0.0544616170227528,"66998","UF3-1",2024-05-17
"65",0,33,"Wood Thrush",0.0524035580456257,"66998","UF3-1",2024-05-17
"66",0,33,"Yellow-throated Warbler",0.0504985488951206,"66998","UF3-1",2024-05-17
"67",0,36,"Kentucky Warbler",0.0600608102977276,"66998","UF3-1",2024-05-17
"68",0,39,"Scarlet Tanager",0.0986784622073174,"66998","UF3-1",2024-05-17
"69",0,39,"Kentucky Warbler",0.0692638605833054,"66998","UF3-1",2024-05-17
"70",0,42,"Worm-eating Warbler",0.137158021330833,"66998","UF3-1",2024-05-17
"71",0,42,"Kentucky Warbler",0.132484063506126,"66998","UF3-1",2024-05-17
"72",0,42,"Swainson's Warbler",0.0802266076207161,"66998","UF3-1",2024-05-17
"73",0,42,"Prothonotary Warbler",0.079669177532196,"66998","UF3-1",2024-05-17
"74",0,42,"Wood Thrush",0.052211619913578,"66998","UF3-1",2024-05-17
"75",0,45,"Worm-eating Warbler",0.228563129901886,"66998","UF3-1",2024-05-17
"76",0,45,"Ovenbird",0.0864480584859848,"66998","UF3-1",2024-05-17
"77",0,45,"Barred Owl",0.0842775031924248,"66998","UF3-1",2024-05-17
"78",0,45,"Acadian Flycatcher",0.061870951205492,"66998","UF3-1",2024-05-17
"79",0,45,"Kentucky Warbler",0.0613635778427124,"66998","UF3-1",2024-05-17
"80",0,48,"Kentucky Warbler",0.115900352597237,"66998","UF3-1",2024-05-17
"81",0,48,"Worm-eating Warbler",0.105811074376106,"66998","UF3-1",2024-05-17
"82",0,48,"Swainson's Warbler",0.0568278431892395,"66998","UF3-1",2024-05-17
"83",0,48,"Acadian Flycatcher",0.0525523126125336,"66998","UF3-1",2024-05-17
"84",0,48,"Prothonotary Warbler",0.0525207705795765,"66998","UF3-1",2024-05-17
"85",0,48,"Barred Owl",0.0518118590116501,"66998","UF3-1",2024-05-17
"86",0,48,"Tufted Titmouse",0.0511087328195572,"66998","UF3-1",2024-05-17
"87",0,51,"Tufted Titmouse",0.0720111131668091,"66998","UF3-1",2024-05-17
"88",0,51,"Swainson's Warbler",0.0648623704910278,"66998","UF3-1",2024-05-17
"89",0,51,"Kentucky Warbler",0.0553065538406372,"66998","UF3-1",2024-05-17
"90",0,51,"Worm-eating Warbler",0.0545941442251205,"66998","UF3-1",2024-05-17
"91",0,54,"Worm-eating Warbler",0.093790277838707,"66998","UF3-1",2024-05-17
