"","Hour","Minute","ARU.ID","ARU.Name","Date","File"
"70",7,4,"66998","UF3-1",2024-05-21,"20240521_070400-216848114.flac"
"71",8,0,"66998","UF3-1",2024-05-21,"20240521_080000-216848205.flac"
"72",8,1,"66998","UF3-1",2024-05-21,"20240521_080100-216848206.flac"
"73",8,2,"66998","UF3-1",2024-05-21,"20240521_080200-216848207.flac"
"74",8,3,"66998","UF3-1",2024-05-21,"20240521_080300-216848208.flac"
"75",8,4,"66998","UF3-1",2024-05-21,"20240521_080400-216848209.flac"
"76",6,0,"66998","UF3-1",2024-05-22,"20240522_060000-216848246.flac"
"77",6,1,"66998","UF3-1",2024-05-22,"20240522_060100-216848247.flac"
"78",6,2,"66998","UF3-1",2024-05-22,"20240522_060200-216848248.flac"
"79",6,3,"66998","UF3-1",2024-05-22,"20240522_060300-216848249.flac"
"80",6,4,"66998","UF3-1",2024-05-22,"20240522_060400-216848250.flac"
"81",7,0,"66998","UF3-1",2024-05-22,"20240522_070000-216848168.flac"
"82",7,1,"66998","UF3-1",2024-05-22,"20240522_070100-216848169.flac"
"83",7,2,"66998","UF3-1",2024-05-22,"20240522_070200-216848170.flac"
"84",7,3,"66998","UF3-1",2024-05-22,"20240522_070300-216848171.flac"
"85",7,4,"66998","UF3-1",2024-05-22,"20240522_070400-216848172.flac"
"86",8,0,"66998","UF3-1",2024-05-22,"20240522_080000-216848054.flac"
"87",8,1,"66998","UF3-1",2024-05-22,"20240522_080100-216848055.flac"
"88",8,2,"66998","UF3-1",2024-05-22,"20240522_080200-216848056.flac"
"89",8,3,"66998","UF3-1",2024-05-22,"20240522_080300-216848057.flac"
"90",8,4,"66998","UF3-1",2024-05-22,"20240522_080400-216848058.flac"
"91",6,0,"66998","UF3-1",2024-05-23,"20240523_060000-216848029.flac"
"92",6,1,"66998","UF3-1",2024-05-23,"20240523_060100-216848030.flac"
"93",6,2,"66998","UF3-1",2024-05-23,"20240523_060200-216848031.flac"
"94",6,3,"66998","UF3-1",2024-05-23,"20240523_060300-216848032.flac"
"95",6,4,"66998","UF3-1",2024-05-23,"20240523_060400-216848033.flac"
"96",7,0,"66998","UF3-1",2024-05-23,"20240523_070000-216848074.flac"
"97",7,1,"66998","UF3-1",2024-05-23,"20240523_070100-216848075.flac"
"98",7,2,"66998","UF3-1",2024-05-23,"20240523_070200-216848076.flac"
"99",7,3,"66998","UF3-1",2024-05-23,"20240523_070300-216848077.flac"
"100",7,4,"66998","UF3-1",2024-05-23,"20240523_070400-216848078.flac"
"101",8,0,"66998","UF3-1",2024-05-23,"20240523_080000-216848039.flac"
"102",8,1,"66998","UF3-1",2024-05-23,"20240523_080100-216848040.flac"
"103",8,2,"66998","UF3-1",2024-05-23,"20240523_080200-216848041.flac"
"104",8,3,"66998","UF3-1",2024-05-23,"20240523_080300-216848042.flac"
"105",8,4,"66998","UF3-1",2024-05-23,"20240523_080400-216848043.flac"
"106",6,0,"66998","UF3-1",2024-05-24,"20240524_060000-216848095.flac"
"107",6,1,"66998","UF3-1",2024-05-24,"20240524_060100-216848096.flac"
"108",6,2,"66998","UF3-1",2024-05-24,"20240524_060200-216848097.flac"
"109",6,3,"66998","UF3-1",2024-05-24,"20240524_060300-216848098.flac"
"110",6,4,"66998","UF3-1",2024-05-24,"20240524_060400-216848099.flac"
"111",7,0,"66998","UF3-1",2024-05-24,"20240524_070000-216848163.flac"
"112",7,1,"66998","UF3-1",2024-05-24,"20240524_070100-216848164.flac"
"113",7,2,"66998","UF3-1",2024-05-24,"20240524_070200-216848165.flac"
"114",7,3,"66998","UF3-1",2024-05-24,"20240524_070300-216848166.flac"
"115",7,4,"66998","UF3-1",2024-05-24,"20240524_070400-216848167.flac"
"116",8,0,"66998","UF3-1",2024-05-24,"20240524_080000-216848049.flac"
"117",8,1,"66998","UF3-1",2024-05-24,"20240524_080100-216848050.flac"
"118",8,2,"66998","UF3-1",2024-05-24,"20240524_080200-216848051.flac"
"119",8,3,"66998","UF3-1",2024-05-24,"20240524_080300-216848052.flac"
"120",8,4,"66998","UF3-1",2024-05-24,"20240524_080400-216848053.flac"
"121",6,0,"66998","UF3-1",2024-05-25,"20240525_060000-216848014.flac"
"122",6,1,"66998","UF3-1",2024-05-25,"20240525_060100-216848015.flac"
"123",6,2,"66998","UF3-1",2024-05-25,"20240525_060200-216848016.flac"
"124",6,3,"66998","UF3-1",2024-05-25,"20240525_060300-216848017.flac"
"125",6,4,"66998","UF3-1",2024-05-25,"20240525_060400-216848018.flac"
"126",7,0,"66998","UF3-1",2024-05-25,"20240525_070000-216847963.flac"
"127",7,1,"66998","UF3-1",2024-05-25,"20240525_070100-216847964.flac"
"128",7,2,"66998","UF3-1",2024-05-25,"20240525_070200-216847965.flac"
"129",7,3,"66998","UF3-1",2024-05-25,"20240525_070300-216847966.flac"
"130",7,4,"66998","UF3-1",2024-05-25,"20240525_070400-216847967.flac"
"131",8,0,"66998","UF3-1",2024-05-25,"20240525_080000-216848019.flac"
"132",8,1,"66998","UF3-1",2024-05-25,"20240525_080100-216848020.flac"
"133",8,2,"66998","UF3-1",2024-05-25,"20240525_080200-216848021.flac"
"134",8,3,"66998","UF3-1",2024-05-25,"20240525_080300-216848022.flac"
"135",8,4,"66998","UF3-1",2024-05-25,"20240525_080400-216848023.flac"
"136",6,0,"66998","UF3-1",2024-05-26,"20240526_060000-216848142.flac"
"137",6,1,"66998","UF3-1",2024-05-26,"20240526_060100-216848143.flac"
"138",6,2,"66998","UF3-1",2024-05-26,"20240526_060200-216848144.flac"
"139",6,3,"66998","UF3-1",2024-05-26,"20240526_060300-216848145.flac"
"140",6,4,"66998","UF3-1",2024-05-26,"20240526_060400-216848146.flac"
"141",7,0,"66998","UF3-1",2024-05-26,"20240526_070000-216847973.flac"
"142",7,1,"66998","UF3-1",2024-05-26,"20240526_070100-216847974.flac"
"143",7,2,"66998","UF3-1",2024-05-26,"20240526_070200-216847975.flac"
"144",7,3,"66998","UF3-1",2024-05-26,"20240526_070300-216847976.flac"
"145",7,4,"66998","UF3-1",2024-05-26,"20240526_070400-216847977.flac"
"146",8,0,"66998","UF3-1",2024-05-26,"20240526_080000-216848219.flac"
"147",8,1,"66998","UF3-1",2024-05-26,"20240526_080100-216848220.flac"
"148",8,2,"66998","UF3-1",2024-05-26,"20240526_080200-216848221.flac"
"149",8,3,"66998","UF3-1",2024-05-26,"20240526_080300-216848222.flac"
"150",8,4,"66998","UF3-1",2024-05-26,"20240526_080400-216848223.flac"
"151",6,0,"66998","UF3-1",2024-05-27,"20240527_060000-216848084.flac"
"152",6,1,"66998","UF3-1",2024-05-27,"20240527_060100-216848085.flac"
"153",6,2,"66998","UF3-1",2024-05-27,"20240527_060200-216848086.flac"
"154",6,3,"66998","UF3-1",2024-05-27,"20240527_060300-216848087.flac"
"155",6,4,"66998","UF3-1",2024-05-27,"20240527_060400-216848088.flac"
"156",7,0,"66998","UF3-1",2024-05-27,"20240527_070000-216848105.flac"
"157",7,1,"66998","UF3-1",2024-05-27,"20240527_070100-216848106.flac"
"158",7,2,"66998","UF3-1",2024-05-27,"20240527_070200-216848107.flac"
"159",7,3,"66998","UF3-1",2024-05-27,"20240527_070300-216848108.flac"
"160",7,4,"66998","UF3-1",2024-05-27,"20240527_070400-216848109.flac"
"161",8,0,"66998","UF3-1",2024-05-27,"20240527_080000-216847994.flac"
"162",8,1,"66998","UF3-1",2024-05-27,"20240527_080100-216847995.flac"
"163",8,2,"66998","UF3-1",2024-05-27,"20240527_080200-216847996.flac"
"164",8,3,"66998","UF3-1",2024-05-27,"20240527_080300-216847997.flac"
"165",8,4,"66998","UF3-1",2024-05-27,"20240527_080400-216847998.flac"
"166",6,0,"66998","UF3-1",2024-05-28,"20240528_060000-216847928.flac"
"167",6,1,"66998","UF3-1",2024-05-28,"20240528_060100-216847929.flac"
"168",6,2,"66998","UF3-1",2024-05-28,"20240528_060200-216847930.flac"
"169",6,3,"66998","UF3-1",2024-05-28,"20240528_060300-216847931.flac"
"170",6,4,"66998","UF3-1",2024-05-28,"20240528_060400-216847932.flac"
"171",7,0,"66998","UF3-1",2024-05-28,"20240528_070000-216848064.flac"
"172",7,1,"66998","UF3-1",2024-05-28,"20240528_070100-216848065.flac"
"173",7,2,"66998","UF3-1",2024-05-28,"20240528_070200-216848066.flac"
"174",7,3,"66998","UF3-1",2024-05-28,"20240528_070300-216848067.flac"
"175",7,4,"66998","UF3-1",2024-05-28,"20240528_070400-216848068.flac"
"176",8,0,"66998","UF3-1",2024-05-28,"20240528_080000-216848100.flac"
"177",8,1,"66998","UF3-1",2024-05-28,"20240528_080100-216848101.flac"
"178",8,2,"66998","UF3-1",2024-05-28,"20240528_080200-216848102.flac"
"179",8,3,"66998","UF3-1",2024-05-28,"20240528_080300-216848103.flac"
"180",8,4,"66998","UF3-1",2024-05-28,"20240528_080400-216848104.flac"
"181",6,0,"66998","UF3-1",2024-05-29,"20240529_060000-216848147.flac"
"182",6,1,"66998","UF3-1",2024-05-29,"20240529_060100-216848148.flac"
